feature,importance
login_timestamp_6/26/2022,1.4846877760553298e-05
login_timestamp_5/15/2022,1.2987952401968262e-05
login_timestamp_5/17/2022,1.2434819449131553e-05
login_timestamp_11/25/2022,1.2406101405269465e-05
login_timestamp_2/11/2022,1.2095090870522224e-05
login_timestamp_9/15/2022,1.1600433887823256e-05
login_timestamp_1/30/2022,1.1562437575328765e-05
login_timestamp_1/14/2022,1.1536632033411702e-05
login_timestamp_2/21/2022,1.1002138138058915e-05
login_timestamp_4/2/2022,9.91813115589745e-06
login_timestamp_6/24/2022,9.720865599488424e-06
login_timestamp_10/4/2022,7.412531495744599e-06
login_timestamp_5/28/2022,6.3007543439936755e-06
login_timestamp_9/11/2022,4.799992041464711e-06
login_timestamp_6/2/2022,3.2410666230532787e-06
login_timestamp_6/4/2022,2.0677856231461568e-06
login_timestamp_2/6/2022,0.0
login_timestamp_1/6/2022,0.0
login_timestamp_2/23/2022,0.0
login_timestamp_8/24/2022,0.0
login_timestamp_8/2/2022,0.0
login_timestamp_11/16/2022,0.0
login_timestamp_12/14/2022,0.0
login_timestamp_8/30/2022,0.0
login_timestamp_12/20/2022,0.0
login_timestamp_9/27/2022,0.0
login_timestamp_9/29/2022,0.0
